model,fold,score
LogisticRegression,1,0.9306547619047619
LogisticRegression,2,0.93125
LogisticRegression,3,0.9157738095238095
LogisticRegression,4,0.9258928571428572
LogisticRegression,5,0.9330357142857143
RandomForest,1,0.9488095238095238
RandomForest,2,0.9494047619047619
RandomForest,3,0.9508928571428571
RandomForest,4,0.9526785714285714
RandomForest,5,0.9592261904761905
XGBoost,1,0.9648809523809524
XGBoost,2,0.9645833333333333
XGBoost,3,0.9636904761904762
XGBoost,4,0.9702380952380952
XGBoost,5,0.9717261904761905
