model,fold,auc
LogisticRegression,1,0.9996410856009069
LogisticRegression,2,0.9995429864654195
LogisticRegression,3,0.9998726704223356
LogisticRegression,4,0.9998493303571429
LogisticRegression,5,0.9998261674461452
RandomForest,1,0.9999942867772108
RandomForest,2,0.9999935781604308
RandomForest,3,0.9999897250566894
RandomForest,4,0.9999996678358843
RandomForest,5,0.9999964790603741
XGBoost,1,0.9999949953939908
XGBoost,2,0.9999945082199546
XGBoost,3,0.9999937553146258
XGBoost,4,0.999999468537415
XGBoost,5,0.9999986713435374
